category_name,position,id,name,description,brand,sku,mpn,price_ron,low_price_ron,high_price_ron,currency,availability,image_url,product_url,shop_name,city,category_url
Congelate,1,,"Amestec legume pentru ciorba de perisoare Auchan, 450g","Amestec legume pentru ciorba de perisoare Auchan, 450g",Auchan,150463,,4.59,4.59,4.59,RON,,https://auchan.vtexassets.com/arquivos/ids/219438/amestec-legume-pentru-ciorba-de-perisoare-auchan-rr-450g-5949084021394_1_1000x1000img.jpg?v=638072314869800000,https://www.auchan.ro/amestec-legume-pentru-ciorba-de-perisoare-auchan-450g/p,Auchan Romania,Iasi,https://www.auchan.ro/congelate/c
Congelate,2,,"Cartofi pai congelati Auchan La Masa in Romania, 1 kg",Cartofi taiati drept congelati,Auchan,289338,,10.79,10.79,10.79,RON,,https://auchan.vtexassets.com/arquivos/ids/223596/5949084022520_Cartofi-pai-congelati-1kg.jpg?v=638174889780770000,https://www.auchan.ro/cartofi-pai-congelati-auchan-la-masa-in-romania-1-kg/p,Auchan Romania,Iasi,https://www.auchan.ro/congelate/c
Congelate,3,,"Amestec de legume mexican Auchan, 450g","Amestec de legume mexican Auchan, 450g",Auchan,150460,,4.59,4.59,4.59,RON,,https://auchan.vtexassets.com/arquivos/ids/219440/amestec-de-legume-mexican-auchan-rr-450g-450g-5949084021370_1_1000x1000img.jpg?v=638072314891230000,https://www.auchan.ro/amestec-de-legume-mexican-auchan-450g/p,Auchan Romania,Iasi,https://www.auchan.ro/congelate/c
Congelate,4,,"Amestec legume pentru ciorba de vacuta Auchan, 450 g","Amestec legume pentru ciorba de vacuta Auchan, 450g",Auchan,150461,,4.99,4.99,4.99,RON,,https://auchan.vtexassets.com/arquivos/ids/219777/amestec-legume-pentru-ciorba-de-vacuta-auchan-450g-5949084021387_4_1000x1000.jpg?v=638088758907830000,https://www.auchan.ro/amestec-legume-pentru-ciorba-de-vacuta-auchan-450g/p,Auchan Romania,Iasi,https://www.auchan.ro/congelate/c
Congelate,5,,"Mazare boabe Pouce, 450g",MAZARE BOABE,Pouce,150453,,3.99,3.99,3.99,RON,,https://auchan.vtexassets.com/arquivos/ids/218979/mazare-boabe-pouce-450g-5949084021318_1_1000x1000img.jpg?v=638072308210670000,https://www.auchan.ro/mazare-boabe-pouce-450g/p,Auchan Romania,Iasi,https://www.auchan.ro/congelate/c
Congelate,6,,"Cartofi curbati Auchan, 750 g","&lt;strong&gt;Mod de preparare: &lt;/strong&gt;&lt;br/&gt;Fara decongelare prealabila.&lt;br/&gt;&lt;br/&gt;Acest produs trebuie gatit inainte de a fi consumat.&lt;ul&gt;&lt;li&gt;La friteuza: gatiti in friteuza la 175˚C, timp de 3-5 min.&lt;/li&gt;&lt;li&gt;La cuptor: Preincalziti cuptorul la 200˚C (treapta 6). Asezati cartofii intr-un singur strat. Lasati sa se rumeneasca timp de 15-20 de minute. Intoarceti-i la jumatatea intervalului.&lt;/li&gt;&lt;li&gt;Friteuza cu aer cald tip Airfryer: preincalziti friteuza cu aer cald la 200˚C. Umpleti cosul cu 500g de cartofi. Gatiti timp de 12-15 minute, scuturand la jumatatea intervalului.&lt;/li&gt;&lt;/ul&gt;&lt;br/&gt;",Auchan,169005,,10.99,10.99,10.99,RON,,https://auchan.vtexassets.com/arquivos/ids/307871/3596710491858.jpg?v=639059651386230000,https://www.auchan.ro/cartofi-prajiti-congelati-auchan-750g/p,Auchan Romania,Iasi,https://www.auchan.ro/congelate/c
Congelate,7,,"Spanac tocat portii Pouce, 450g",SPANAC TOCAT PORTII,Pouce,150456,,4.59,4.59,4.59,RON,,https://auchan.vtexassets.com/arquivos/ids/218641/spanac-tocat-portii-pouce-450g-5949084021349_1_1000x1000img.jpg?v=638072302991470000,https://www.auchan.ro/spanac-tocat-portii-pouce-450g/p,Auchan Romania,Iasi,https://www.auchan.ro/congelate/c
Congelate,8,,"Cartofi sferturi cu coaja si ierburi, 700 g",&lt;br/&gt;,Auchan,969024,,8.79,8.79,8.79,RON,,https://auchan.vtexassets.com/arquivos/ids/305981/3596710540167.jpg?v=639017343532430000,https://www.auchan.ro/cartofi-sferturi-auchan-cu-ierburi-700g/p,Auchan Romania,Iasi,https://www.auchan.ro/congelate/c
Congelate,9,,"Amestec de legume pentru salata de boeuf Auchan, 450g",AMESTEC DE LEGUME PENTRU SALATA DE BOEUF,Auchan,150473,,4.59,4.59,4.59,RON,,https://auchan.vtexassets.com/arquivos/ids/219439/amestec-de-legume-pentru-salata-de-boeuf-auchan-rr-450g-5949084021400_1_1000x1000img.jpg?v=638072314877470000,https://www.auchan.ro/amestec-de-legume-pentru-salata-de-boeuf-auchan-450g/p,Auchan Romania,Iasi,https://www.auchan.ro/congelate/c
Congelate,10,,"Visine fara samburi Auchan, 450g","Visine fara samburi Auchan, 450g",Auchan,150474,,19.99,19.99,19.99,RON,,https://auchan.vtexassets.com/arquivos/ids/218558/visine-fara-samburi-auchan-rr-450g-450g-5949084021417_1_1000x1000img.jpg?v=638072302297770000,https://www.auchan.ro/visine-fara-samburi-auchan-450g/p,Auchan Romania,Iasi,https://www.auchan.ro/congelate/c
Congelate,11,,"Crochete de cartofi Auchan, 750 g","&lt;strong&gt;Recomandari pentru preparare: &lt;/strong&gt;&lt;br/&gt;Fara decongelare prealabila.&lt;br/&gt;&lt;br/&gt;Acest produs trebuie gatit inainte de a fi consumat.&lt;ul&gt;&lt;li&gt;La cuptor: Preincalziti cuptorul timp de 10 minute la 210˚C (treapta 7). Intindeti crochetele de cartofi pe o foaie de copt, introduceti tava in cuptor la jumatatea inaltimii cuptorului si lasati sa se rumeneasca timp de 15-20 de minute, amestecandu-le din cand in cand. Timpul de coacere poate varia usor in functie de tipul cuptorului.&lt;/li&gt;&lt;li&gt;Friteuza cu aer cald tip Airfryer: preincalziti friteuza, coaceti crochetele de cartofi timp de 7-12 minute la 180˚C. Scuturati cosul la jumatatea intervalului.&lt;/li&gt;&lt;/ul&gt;",Auchan,969022,,10.99,10.99,10.99,RON,,https://auchan.vtexassets.com/arquivos/ids/305975/3596710375585.jpg?v=639017342600470000,https://www.auchan.ro/crochete-de-cartofi-auchan-750g/p,Auchan Romania,Iasi,https://www.auchan.ro/congelate/c
Congelate,12,,"Bulete din cartofi Auchan, 1 kg",&lt;br/&gt;,Auchan,969023,,13.59,13.59,13.59,RON,,https://auchan.vtexassets.com/arquivos/ids/305978/3596710418305.jpg?v=639017343095700000,https://www.auchan.ro/cartofi-mici-intregi-auchan-1kg/p,Auchan Romania,Iasi,https://www.auchan.ro/congelate/c
Congelate,13,,"Fasole galbena taiata Pouce, 450g",FASOLE GALBENA TAIATA,Pouce,150455,,4.19,4.19,4.19,RON,,https://auchan.vtexassets.com/arquivos/ids/219113/fasole-galbena-taiata-pouce-450g-5949084021332_1_1000x1000img.jpg?v=638072309823470000,https://www.auchan.ro/fasole-galbena-taiata-pouce-450g/p,Auchan Romania,Iasi,https://www.auchan.ro/congelate/c
Congelate,14,,"Mix de ciuperci cu hribi si galbiori calitatea I Auchan, 500g","Mixul de ciuperci este alcatuit din galbiori, hribi si champignon . Un amestec parfumat cu 3 specii de ciuperci de cea mai buna calitate infrumusetate cu delicioase ciuperci porcini (hribi), atent selectate. Excelent ca si condiment pentru feluri de mancare pentru paste si risotto sau ca si garnitura rafinata. A se spala inainte de consum. ;Produs romanesc ;Calitatea I",Auchan,112137,,20.39,20.39,20.39,RON,,https://auchan.vtexassets.com/arquivos/ids/218935/mix-de-ciuperci-cu-hribi-si-galbiori-calitatea-i-auchan-500g-5949084020182_4_1000x1000img.jpg?v=638072307648500000,https://www.auchan.ro/mix-de-ciuperci-cu-hribi-si-galbiori-calitatea-i-auchan-500g/p,Auchan Romania,Iasi,https://www.auchan.ro/congelate/c
Congelate,15,,"Vafa cu aroma de vanilie Pouce, 55 g",Inghetata vafa cu aroma de vanilie 55g/100ml.,Pouce,403045,,1.39,1.39,1.39,RON,,https://auchan.vtexassets.com/arquivos/ids/268768/5949084003116_1.jpg?v=638532634216930000,https://www.auchan.ro/vafa-cu-vanilie-auchan-55-g/p,Auchan Romania,Iasi,https://www.auchan.ro/congelate/c
Congelate,16,,"Porumb boabe congelat Auchan, 450g","Porumb boabe congelat Auchan, 450g",Auchan,198493,,7.19,7.19,7.19,RON,,https://auchan.vtexassets.com/arquivos/ids/218803/porumb-boabe-congelat-auchan-450g-5949084022308_1_1000x1000img.jpg?v=638072305334330000,https://www.auchan.ro/porumb-boabe-congelat-auchan-450g/p,Auchan Romania,Iasi,https://www.auchan.ro/congelate/c
Congelate,17,,"Cartofi rondele congelati Auchan La Masa in Romania, 1 kg",Cartofi taiati rondele congelati.,Auchan,289341,,10.79,10.79,10.79,RON,,https://auchan.vtexassets.com/arquivos/ids/223597/5949084022537_Cartofi-rondele-congelati-1kg.jpg?v=638174892560030000,https://www.auchan.ro/cartofi-rondele-congelati-auchan-la-masa-in-romania-1-kg/p,Auchan Romania,Iasi,https://www.auchan.ro/congelate/c
Congelate,18,,"Inghetata vafa cu fructe de padure si frisca Auchan, 55 g","Inghetata la vafa cu fructe de padure si frisca Auchan, 55g",Auchan,81586,,1.59,1.59,1.59,RON,,https://auchan.vtexassets.com/arquivos/ids/219020/inghetata-vafa-cu-fructe-de-padure-si-frisca-auchan-55g-5949084019186_4_1000x1000img.jpg?v=638072308627300000,https://www.auchan.ro/inghetata-vafa-cu-fructe-de-padure-si-frisca-auchan-55-g/p,Auchan Romania,Iasi,https://www.auchan.ro/congelate/c
Congelate,19,,"Inghetata vafa cu cacao si aroma de vanilie Auchan, 55 g","Inghetata la vafa cu cacao si aroma de vanilie Auchan, 55g",Auchan,81585,,1.59,1.59,1.59,RON,,https://auchan.vtexassets.com/arquivos/ids/219021/inghetata-vafa-cu-cacao-si-vanilie-auchan-55g-5949084019179_4_1000x1000img.jpg?v=638072308636800000,https://www.auchan.ro/inghetata-vafa-cu-cacao-si-vanilie-auchan-55-g/p,Auchan Romania,Iasi,https://www.auchan.ro/congelate/c
Congelate,20,,"Hribi cuburi calitate I Auchan, 300g","Hribii au un gust usor de alune si carne, cu miros placut si textura fina si cremoasa. Pot fi consumati proaspeti, sub forma uscata sau congelati. ;Produs romanesc- ;Calitatea I",Auchan,112135,,21.39,21.39,21.39,RON,,https://auchan.vtexassets.com/arquivos/ids/219061/hribi-cuburi-calitate-i-auchan-300g-5949084020168_4_1000x1000img.jpg?v=638072309119700000,https://www.auchan.ro/hribi-cuburi-calitate-i-auchan-300g/p,Auchan Romania,Iasi,https://www.auchan.ro/congelate/c
Congelate,21,,"Vafa cu cacao Pouce, 55 g",Inghetata vafa cu cacao 55g/100ml.,Pouce,403044,,1.39,1.39,1.39,RON,,https://auchan.vtexassets.com/arquivos/ids/268766/5949084003109_1.jpg?v=638532631201630000,https://www.auchan.ro/vafa-cu-cacao-auchan-55-g/p,Auchan Romania,Iasi,https://www.auchan.ro/congelate/c
Congelate,22,,"Ghebe Nameko calitatea I Auchan, 300g","Ghebele nameko (Pholiota nameko) sunt ciuperci gustoase care cresc vara si toamna si sunt deosebit de populare in Japonia, unde sunt folosite pentru supe si Soba. Aroma lor placuta si discreta, perfect conservata de tehnicile moderne de congelare, le face ideale ca condiment pentru multe feluri de mancare. ;Calitatea I",Auchan,112136,,11.99,11.99,11.99,RON,,https://auchan.vtexassets.com/arquivos/ids/219074/ghebe-nameko-calitatea-i-auchan-300g-5949084020175_4_1000x1000img.jpg?v=638072309349500000,https://www.auchan.ro/ghebe-nameko-calitatea-i-auchan-300g/p,Auchan Romania,Iasi,https://www.auchan.ro/congelate/c
Congelate,23,,"Inghetata de vanilie Auchan, 480 g","Caserola cu inghetata vanilie 10%grasime, 480g/1000 ml",Auchan,84290,,17.99,17.99,17.99,RON,,https://auchan.vtexassets.com/arquivos/ids/293496/5949084019674.jpg.jpg?v=638822051743500000,https://www.auchan.ro/inghetata-de-vanilie-auchan-480-g/p,Auchan Romania,Iasi,https://www.auchan.ro/congelate/c
Congelate,24,,"Pachet de inghetata la cornet cu vanilie, arahide si glazura de cacao Auchan, 6 x 65 g","Pachet de inghetata la cornet cu vanilie, arahide bucati si glazura de cacao Auchan, 6x65g (6x130ml)",Auchan,84281,,17.99,17.99,17.99,RON,,https://auchan.vtexassets.com/arquivos/ids/293491/5949084019629.jpg.jpg?v=638822050963670000,https://www.auchan.ro/pachet-de-inghetata-la-cornet-cu-aroma-de-vanilie-auchan-6-x-65-g/p,Auchan Romania,Iasi,https://www.auchan.ro/congelate/c
